Fiscal Year,Revenue,Gross Profit,Operating Income,Net Income,EPS Diluted,Operating Cash Flow,Capital Expenditures,Cash,Current Assets,Current Liabilities,Total Assets,Total Liabilities,Total Equity,Free Cash Flow,Revenue Growth %,Net Income Growth %,FCF Growth %,Gross Margin %,Operating Margin %,Net Margin %,Current Ratio,Debt to Equity,ROA %,ROE %
2021,125843000000,82933000000,42959000000,39240000000,5.06,52185000000,13925000000,13576000000,181915000000,72310000000,301311000000,183007000000,102330000000,38260000000,,,,65.9,34.14,31.18,2.52,1.79,13.02,38.35
2022,143015000000,96937000000,52959000000,44281000000,5.76,60675000000,15441000000,14224000000,184406000000,88657000000,333779000000,191791000000,118304000000,45234000000,13.65,12.85,18.23,67.78,37.03,30.96,2.08,1.62,13.27,37.43
2023,168088000000,115856000000,69916000000,61271000000,8.05,76740000000,20622000000,13931000000,169684000000,95082000000,364840000000,198298000000,141988000000,56118000000,17.53,38.37,24.06,68.93,41.59,36.45,1.78,1.4,16.79,43.15
2024,198270000000,135620000000,83383000000,72738000000,9.65,89035000000,23886000000,34704000000,184257000000,104149000000,411976000000,205753000000,166542000000,65149000000,17.96,18.72,16.09,68.4,42.06,36.69,1.77,1.24,17.66,43.68
2025,211915000000,146052000000,88523000000,72361000000,9.68,87582000000,28107000000,18315000000,159734000000,125286000000,512163000000,243686000000,206223000000,59475000000,6.88,-0.52,-8.71,68.92,41.77,34.15,1.27,1.18,14.13,35.09
