Fiscal Year,Revenue,Gross Profit,Operating Income,Net Income,EPS Diluted,Operating Cash Flow,Capital Expenditures,Cash,Current Assets,Current Liabilities,Total Assets,Total Liabilities,Total Equity,Free Cash Flow
2021,125843000000,82933000000,42959000000,39240000000,5.06,52185000000,13925000000,13576000000,181915000000,72310000000,301311000000,183007000000,102330000000,38260000000
2022,143015000000,96937000000,52959000000,44281000000,5.76,60675000000,15441000000,14224000000,184406000000,88657000000,333779000000,191791000000,118304000000,45234000000
2023,168088000000,115856000000,69916000000,61271000000,8.05,76740000000,20622000000,13931000000,169684000000,95082000000,364840000000,198298000000,141988000000,56118000000
2024,198270000000,135620000000,83383000000,72738000000,9.65,89035000000,23886000000,34704000000,184257000000,104149000000,411976000000,205753000000,166542000000,65149000000
2025,211915000000,146052000000,88523000000,72361000000,9.68,87582000000,28107000000,18315000000,159734000000,125286000000,512163000000,243686000000,206223000000,59475000000
